12192250,41455,41428,41434,41438,41465,41435,41413,41454,41457,41414,41467,41449,41475,41559,41553,41566,41570,41586,41538,41549,41499,41543,41449,41473,20.37,20.52,20.36,20.39,27.98,25.46,24.33,0.46,000000000
12192585,41454,41429,41435,41438,41463,41437,41413,41454,41457,41415,41467,41450,41475,41561,41554,41566,41570,41587,41539,41549,41499,41541,41449,41471,20.37,20.51,20.36,20.40,27.98,25.46,24.33,0.45,000000000
12192808,41455,41427,41434,41438,41467,41437,41414,41453,41457,41416,41468,41450,41474,41559,41553,41566,41569,41585,41538,41549,41499,41542,41449,41470,20.37,20.51,20.36,20.39,27.98,25.46,24.33,0.41,000000000
12193031,41454,41428,41433,41439,41466,41437,41413,41453,41457,41416,41469,41449,41473,41558,41553,41568,41570,41587,41539,41549,41497,41542,41448,41472,20.37,20.52,20.36,20.39,27.98,25.46,24.34,0.48,000000000
12193254,41455,41427,41435,41438,41466,41437,41412,41455,41457,41416,41467,41450,41473,41560,41555,41566,41571,41586,41539,41549,41499,41543,41450,41473,20.38,20.52,20.36,20.40,27.98,25.47,24.34,0.50,000000000
12193477,41455,41428,41434,41436,41464,41436,41413,41453,41456,41413,41468,41449,41474,41559,41553,41568,41569,41585,41538,41550,41498,41543,41448,41471,20.37,20.51,20.37,20.40,27.98,25.46,24.33,0.48,000000000
12193700,41455,41429,41434,41437,41464,41437,41413,41454,41457,41415,41468,41449,41475,41561,41555,41568,41570,41585,41538,41549,41499,41543,41448,41471,20.37,20.51,20.36,20.40,27.98,25.46,24.33,0.45,000000000
12193923,41455,41429,41433,41439,41463,41437,41413,41454,41458,41417,41467,41451,41474,41559,41552,41565,41569,41585,41539,41549,41497,41542,41448,41470,20.38,20.52,20.36,20.39,27.97,25.46,24.33,0.51,000000000
12194146,41454,41429,41434,41438,41465,41438,41412,41454,41457,41416,41467,41450,41475,41560,41554,41565,41570,41585,41539,41549,41499,41543,41450,41471,20.38,20.52,20.36,20.39,27.98,25.46,24.33,0.42,000000000
12194369,41454,41429,41434,41437,41465,41435,41413,41454,41457,41415,41469,41449,41474,41559,41553,41566,41571,41586,41537,41549,41497,41542,41451,41472,20.37,20.51,20.36,20.40,27.98,25.46,24.33,0.44,000000000
12194592,41454,41428,41433,41437,41465,41438,41414,41453,41456,41415,41467,41448,41474,41560,41554,41567,41571,41585,41539,41548,41500,41543,41449,41473,20.37,20.52,20.36,20.39,27.98,25.46,24.33,0.43,000000000
12194815,41454,41427,41436,41438,41465,41435,41412,41454,41456,41415,41467,41448,41475,41560,41553,41568,41570,41586,41538,41550,41498,41543,41449,41473,20.38,20.52,20.36,20.40,27.98,25.46,24.33,0.43,000000000
